userID,first_name,last_name,email,birth_date,gender,address,password,userName
18001,Mingyu,Liu,mingyu.liu@upenn.edu,,M,,yu,ming
18002,Shi,He,shi.he@upenn.edu,,F,,shi,daisy
18003,Jingwen,Yang,jingwen.yang@upenn.edu,,F,,wen,jinnie
18004,Chao,Zhang,chao.zhang@upenn.edu,,M,,chao,chao
18006,Zhepeng,Yan,zhepeng.yan@upenn.edu,,M,,peng,allen
18012,Michael,Jordan,michael.jordan@upenn.edu,,M,,jeffrey,michael
18013,Condoleezza,Rice,condoleezza.rice@upenn.edu,,F,,leezza,condo
18014,George,Bush,george.bush@upenn.edu,,M,,walker,george
18015,John,McCain,john.mccain@upenn.edu,,M,,sidney,john2
18016,Sarah,Palin,sarah.palin@upenn.edu,,F,,louise,sarah
18017,Mark,Zuckerberg,mark.zuckerberg@upenn.edu,,M,,elliot,mark
18018,William,Gates,bill.gates@upenn.edu,,F,,henry,bill
18019,Steve,Jobs,steve.jobs@upenn.edu,,M,,job,steve
18020,Larry,Page,larry.page@upenn.edu,,M,,arry,larry
18005,Zachary,Ives,zachary.ives@upenn.edu,,M,,ary,zack
18007,Barack,Obama,barack.obama@upenn.edu,,M,,bama,hussein
18008,Hillary,Clinton,hillary.clinton@upenn.edu,,F,,lary,hillary
18009,Joseph,Biden,joe.biden@upenn.edu,,M,,robinette,joe
18010,John,Kennedy,john.kennedy@upenn.edu,,M,,jack,john
18011,Dwight,Eisenhower,dwight.eisenhower@upenn.edu,,M,,right,dwight
